,MatchNum,Country,Bowler,O,M,R,W,Econ,0s,4s,6s,Extra
322,27,Scotland,RM Haq,10,0,49,0,4.90,28,2,1,"(1nb, 1w)"
323,27,Scotland,RD Berrington,2,0,18,0,9.00,4,3,0,
324,28,India,Mohammed Shami,8,2,35,3,4.37,37,4,1,(5w)
325,28,India,UT Yadav,10,1,42,2,4.20,40,3,1,(5w)
326,28,India,R Ashwin,9,0,38,1,4.22,33,3,1,(1w)
327,28,India,MM Sharma,9,2,35,1,3.88,38,3,1,(4w)
328,28,India,RA Jadeja,8.2,0,27,2,3.24,33,0,1,(1w)
329,28,West Indies,JE Taylor,8,0,33,2,4.12,30,4,0,(1w)
330,28,West Indies,JO Holder,7,0,29,0,4.14,27,4,0,(1w)
331,28,West Indies,KAJ Roach,8,1,44,1,5.50,30,3,0,"(2nb, 5w)"
332,28,West Indies,AD Russell,8,0,43,2,5.37,27,2,1,"(1nb, 5w)"
333,28,West Indies,DR Smith,5,0,22,1,4.40,17,2,0,(3w)
334,28,West Indies,MN Samuels,3.1,0,10,0,3.15,12,1,0,
335,29,South Africa,DW Steyn,10,3,30,3,3.00,43,2,1,(1w)
336,29,South Africa,KJ Abbott,9,0,45,2,5.00,31,6,0,(1w)
337,29,South Africa,M Morkel,9.4,0,25,2,2.58,41,1,0,(1nb)
338,29,South Africa,Imran Tahir,9,1,38,1,4.22,33,4,1,
339,29,South Africa,AB de Villiers,6,0,43,1,7.16,15,7,0,(1w)
340,29,South Africa,JP Duminy,3,0,34,0,11.33,5,1,3,(2w)
341,29,Pakistan,Mohammad Irfan,8,0,52,3,6.50,28,10,0,
342,29,Pakistan,Sohail Khan,5,0,36,1,7.20,18,6,0,(4w)
343,29,Pakistan,Rahat Ali,8,1,40,3,5.00,32,6,1,(1w)
344,29,Pakistan,Shahid Afridi,5,0,28,0,5.60,19,2,2,
345,29,Pakistan,Wahab Riaz,7.3,2,45,3,6.00,29,4,3,(2w)
346,30,Zimbabwe,T Panyangara,9,0,69,1,7.66,27,7,2,"(1nb, 1w)"
347,30,Zimbabwe,TL Chatara,10,0,61,3,6.10,31,4,2,"(1nb, 4w)"
348,30,Zimbabwe,T Mupariwa,10,0,56,0,5.60,28,6,0,(1w)
349,30,Zimbabwe,Sikandar Raza,9,0,51,0,5.66,25,1,3,
350,30,Zimbabwe,SC Williams,9,0,72,3,8.00,19,8,1,"(1nb, 2w)"
351,30,Zimbabwe,H Masakadza,3,0,18,0,6.00,6,2,0,
352,30,Ireland,AR Cusack,9.3,2,32,4,3.36,37,2,0,(1w)
353,30,Ireland,JF Mooney,10,0,58,2,5.80,32,7,0,(1w)
354,30,Ireland,KJ O'Brien,10,0,90,2,9.00,23,12,2,
355,30,Ireland,GH Dockrell,10,0,56,1,5.60,28,2,2,
356,30,Ireland,AR McBrine,8,0,56,1,7.00,15,3,2,
357,30,Ireland,PR Stirling,2,0,26,0,13.00,1,2,1,(1nb)
358,31,New Zealand,TG Southee,10,0,43,0,4.30,40,4,2,
359,31,New Zealand,TA Boult,10,2,34,3,3.40,45,4,0,(2w)
360,31,New Zealand,DL Vettori,10,4,18,4,1.80,48,2,0,
361,31,New Zealand,AF Milne,10,0,38,1,3.80,41,5,0,(4w)
362,31,New Zealand,CJ Anderson,6.4,0,38,2,5.70,26,5,1,(3w)
363,31,New Zealand,GD Elliott,1,0,10,0,10.00,2,2,0,
364,31,Afghanistan,Dawlat Zadran,9,0,51,0,5.66,30,7,0,(3w)
365,31,Afghanistan,Shapoor Zadran,10,2,45,1,4.50,35,4,0,
366,31,Afghanistan,Hamid Hassan,7,1,36,0,5.14,26,6,0,
367,31,Afghanistan,Mohammad Nabi,7.1,0,39,1,5.44,22,3,1,(1w)
368,31,Afghanistan,Samiullah Shenwari,3,0,15,0,5.00,8,1,0,
369,32,Sri Lanka,SL Malinga,10,0,59,2,5.90,29,7,0,(1w)
370,32,Sri Lanka,SMSM Senanayake,9,0,59,0,6.55,23,5,1,
371,32,Sri Lanka,AD Mathews,7,0,59,1,8.42,15,6,1,(2w)
372,32,Sri Lanka,S Prasanna,10,0,77,1,7.70,23,9,1,
373,32,Sri Lanka,NLTC Perera,9,0,87,2,9.66,18,9,4,(1w)
374,32,Sri Lanka,TM Dilshan,5,0,33,1,6.60,10,2,1,
375,32,Australia,MA Starc,8.2,0,29,2,3.48,31,2,0,(1w)
