,MatchNum,Country,Batsman,Dismissal-Info,R,M,B,4s,6s,SR
299,17,Afghanistan,Gulbadin Naib,c Haq b Davey,0,4,1,0,0,0.00
300,17,Afghanistan,Dawlat Zadran,c Mommsen b Berrington,9,50,25,1,0,36.00
301,17,Afghanistan,Hamid Hassan,not out,15,75,39,1,0,38.46
302,17,Afghanistan,Shapoor Zadran,not out,12,21,10,2,0,120.00
303,18,Sri Lanka,HDRL Thirimanne,c Taskin Ahmed b Rubel Hossain,52,104,78,3,0,66.66
304,18,Sri Lanka,TM Dilshan,not out,161,221,146,22,0,110.27
305,18,Sri Lanka,KC Sangakkara†,not out,105,116,76,13,1,138.15
306,18,Bangladesh,Tamim Iqbal,b Malinga,0,1,2,0,0,0.00
307,18,Bangladesh,Anamul Haque,run out (Mathews),29,66,43,1,1,67.44
308,18,Bangladesh,Soumya Sarkar,c †Sangakkara b Mathews,25,24,15,5,0,166.66
309,18,Bangladesh,Mominul Haque,c Jayawardene b Lakmal,1,5,3,0,0,33.33
310,18,Bangladesh,Mahmudullah,c Herath b Perera,28,54,46,3,0,60.86
311,18,Bangladesh,Shakib Al Hasan,c Malinga b Dilshan,46,57,59,4,1,77.96
312,18,Bangladesh,Mushfiqur Rahim†,b Lakmal,36,75,39,2,1,92.30
313,18,Bangladesh,Sabbir Rahman,c †Sangakkara b Malinga,53,63,62,7,0,85.48
314,18,Bangladesh,Mashrafe Mortaza*,st †Sangakkara b Dilshan,7,14,7,1,0,100.00
315,18,Bangladesh,Rubel Hossain,not out,0,13,5,0,0,0.00
316,18,Bangladesh,Taskin Ahmed,lbw b Malinga,0,1,1,0,0,0.00
317,19,South Africa,Q de Kock†,c Russell b Holder,12,24,19,3,0,63.15
318,19,South Africa,HM Amla,lbw b Gayle,65,122,88,1,1,73.86
319,19,South Africa,F du Plessis,c †Ramdin b Gayle,62,93,70,3,0,88.57
320,19,South Africa,RR Rossouw,c †Ramdin b Russell,61,64,39,6,1,156.41
321,19,South Africa,AB de Villiers*,not out,162,103,66,17,8,245.45
322,19,South Africa,DA Miller,c Taylor b Russell,20,21,16,0,0,125.00
323,19,South Africa,F Behardien,not out,10,18,5,0,1,200.00
324,19,West Indies,DR Smith,c Miller b Imran Tahir,31,51,34,4,1,91.17
325,19,West Indies,CH Gayle,b Abbott,3,6,4,0,0,75.00
326,19,West Indies,MN Samuels,c †de Kock b Abbott,0,9,9,0,0,0.00
327,19,West Indies,JL Carter,c de Villiers b Morkel,10,31,20,1,0,50.00
328,19,West Indies,D Ramdin†,b Imran Tahir,22,61,47,2,0,46.80
329,19,West Indies,LMP Simmons,lbw b Imran Tahir,0,2,2,0,0,0.00
330,19,West Indies,DJG Sammy,st †de Kock b Imran Tahir,5,21,11,0,0,45.45
331,19,West Indies,AD Russell,c Abbott b Imran Tahir,0,2,3,0,0,0.00
332,19,West Indies,JO Holder*,c Amla b Steyn,56,56,48,3,4,116.66
333,19,West Indies,JE Taylor,not out,15,30,18,2,0,83.33
334,19,West Indies,SJ Benn,c Amla b Morkel,1,2,3,0,0,33.33
335,20,Australia,AJ Finch,b Southee,14,10,7,1,1,200.00
336,20,Australia,DA Warner,lbw b Southee,34,58,42,2,1,80.95
337,20,Australia,SR Watson,c Southee b Vettori,23,44,30,2,0,76.66
338,20,Australia,MJ Clarke*,c Williamson b Boult,12,37,18,1,0,66.66
339,20,Australia,SPD Smith,c †Ronchi b Vettori,4,17,11,0,0,36.36
340,20,Australia,GJ Maxwell,b Boult,1,4,3,0,0,33.33
341,20,Australia,MR Marsh,b Boult,0,3,2,0,0,0.00
342,20,Australia,BJ Haddin†,c sub (TWM Latham) b Anderson,43,70,41,4,2,104.87
343,20,Australia,MG Johnson,c Williamson b Boult,1,6,7,0,0,14.28
